Numeration,Evaluation_unit,Transect,Cover,Date,Family,Genus,Indicator_species,Plant_vigor
84,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,8
85,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,10
86,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,11
87,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,17
88,CHAL-03,SO,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
89,CHAL-03,SO,low,16/6/2024,Poaceae,Festuca,Festuca_peruviana,6
90,CHAL-03,SO,low,16/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,6
91,CHAL-04,NO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_curvula,12
92,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,8
93,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,12
94,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,11
95,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,12
96,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,15
97,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,16
98,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,12
99,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,28
100,CHAL-04,NO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,52
101,CHAL-04,SE,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,13
102,CHAL-04,SE,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,13
103,CHAL-04,SE,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,5
104,CHAL-04,SE,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,9
105,CHAL-04,SE,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,5
106,CHAL-04,SE,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,4
107,CHAL-04,SE,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,6
108,CHAL-04,SE,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,9
109,CHAL-04,SE,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,5
110,CHAL-04,SE,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,7
111,CHAL-04,SO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,11
112,CHAL-04,SO,medium,17/6/2024,Poaceae,Festuca,Festuca_peruviana,7
113,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,4
114,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,6
115,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,13
116,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,4
117,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,4
118,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,3
119,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,5
120,CHAL-04,SO,medium,17/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,20
121,CHAL-08,NO,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
122,CHAL-08,NO,low,19/6/2024,,,cinnagrostis_vicunarum,3
123,CHAL-08,NO,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,9
124,CHAL-08,NO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,12
125,CHAL-08,NO,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
126,CHAL-08,NO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
127,CHAL-08,NO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
128,CHAL-08,NO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,15
129,CHAL-08,NO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,13
130,CHAL-08,NO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,12
131,CHAL-08,SE,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
132,CHAL-08,SE,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,15
133,CHAL-08,SE,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,7
134,CHAL-08,SE,low,19/6/2024,Poaceae,Festuca,Festuca_peruviana,19
135,CHAL-08,SE,low,19/6/2024,Poaceae,Festuca,Festuca_peruviana,20
136,CHAL-08,SE,low,19/6/2024,Poaceae,Festuca,Festuca_peruviana,33
137,CHAL-08,SE,low,19/6/2024,Poaceae,Festuca,Festuca_peruviana,34
138,CHAL-08,SE,low,19/6/2024,Poaceae,Festuca,Festuca_peruviana,36
139,CHAL-08,SE,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
140,CHAL-08,SE,low,19/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,11
141,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,6
142,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,9
143,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,11
144,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
145,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
146,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
147,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
148,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,9
149,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,6
150,CHAL-08,SO,low,19/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
151,CHAL-10,NO,medium,18/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,18
152,CHAL-10,NO,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,10
153,CHAL-10,NO,medium,18/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,6
154,CHAL-10,NO,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,6
155,CHAL-10,NO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,7
156,CHAL-10,NO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,7
157,CHAL-10,NO,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,6
158,CHAL-10,NO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,12
159,CHAL-10,NO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
160,CHAL-10,NO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,11
161,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,7
162,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,7
163,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,12
164,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,9
165,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,10
166,CHAL-10,SE,medium,18/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,8
167,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,12
168,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,12
169,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,7
170,CHAL-10,SE,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,10
171,CHAL-10,SO,medium,18/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,18
172,CHAL-10,SO,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,13
173,CHAL-10,SO,medium,18/6/2024,Poaceae,Festuca,Festuca_peruviana,12
174,CHAL-10,SO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
175,CHAL-10,SO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
176,CHAL-10,SO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,11
177,CHAL-10,SO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,8
178,CHAL-10,SO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,9
179,CHAL-10,SO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,10
180,CHAL-10,SO,medium,18/6/2024,Cyperaceae,Trichophorum,Trichophorum_rigidum,11
181,TAM-17,SE,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,20
182,TAM-17,SE,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,26
183,TAM-17,SE,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,25
184,TAM-17,SE,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,20
185,TAM-17,SE,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,24
186,TAM-17,SE,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,25
187,TAM-17,SE,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,22
188,TAM-17,SE,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,38
189,TAM-17,SE,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,18
190,TAM-17,SE,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,29
191,TAM-17,NO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,29
192,TAM-17,NO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,33
193,TAM-17,NO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,19
194,TAM-17,NO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,45
195,TAM-17,NO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,24
196,TAM-17,NO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,16
197,TAM-17,NO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,38
198,TAM-17,NO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,23
199,TAM-17,NO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,37
200,TAM-17,NO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,10
201,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,30
202,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,26
203,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,27
204,CHAL-06,SE,high,20/6/2024,Poaceae,Festuca,Festuca_peruviana,17
205,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
206,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,15
207,CHAL-06,SE,high,20/6/2024,Poaceae,Festuca,Festuca_peruviana,14
208,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,11
209,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,17
210,CHAL-06,SE,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
211,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,9
212,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,16
213,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,8
214,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,10
215,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,20
216,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,11
217,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,10
218,TAM-15,SE,medium,12/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
219,TAM-15,SE,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,12
220,CHAL-06,SO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,21
221,CHAL-06,SO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
222,CHAL-06,SO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,23
223,CHAL-06,SO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,32
224,CHAL-06,SO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,17
225,CHAL-06,SO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,21
226,CHAL-06,SO,high,20/6/2024,Poaceae,Festuca,Festuca_peruviana,14
227,CHAL-06,SO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,9
228,CHAL-06,SO,high,20/6/2024,Poaceae,Festuca,Festuca_peruviana,15
229,CHAL-06,SO,high,20/6/2024,Poaceae,Festuca,Festuca_peruviana,10
230,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,18
231,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,32
232,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
233,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,18
234,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,18
235,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
236,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
237,CHAL-06,NO,high,20/6/2024,Poaceae,Festuca,Festuca_peruviana,24
238,CHAL-06,NO,high,20/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
239,CHAL-06,NO,high,20/6/2024,Poaceae,Festuca,Festuca_peruviana,12
240,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,11
241,CHAL-07,NO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,15
242,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
243,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
244,CHAL-07,NO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,26
245,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
246,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,13
247,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
248,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,11
249,CHAL-07,NO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
250,TAM-17,SO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,30
251,TAM-17,SO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,20
252,TAM-17,SO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,17
253,TAM-17,SO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,12
254,TAM-17,SO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,15
255,TAM-17,SO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,10
256,TAM-17,SO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,16
257,TAM-17,SO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,10
258,TAM-17,SO,high,14/6/2024,Poaceae,Festuca,Festuca_peruviana,16
259,TAM-17,SO,high,14/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,13
260,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
261,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,15
262,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,13
263,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,13
264,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
265,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,11
266,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
267,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
268,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
269,CHAL-07,SE,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,4
270,CHAL-07,SO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,12
271,CHAL-07,SO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,12
272,CHAL-07,SO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,8
273,CHAL-07,SO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,8
274,CHAL-07,SO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,9
275,CHAL-07,SO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,14
276,CHAL-07,SO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,22
277,CHAL-07,SO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,20
278,CHAL-07,SO,medium,15/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,14
279,CHAL-07,SO,medium,15/6/2024,Poaceae,Festuca,Festuca_peruviana,11
280,TAM-15,NO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,37
281,TAM-15,NO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,40
282,TAM-15,NO,medium,12/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
283,TAM-15,NO,medium,12/6/2024,Poaceae,Cinnagrostis,Cinnagrostis_vicunarum,10
284,TAM-15,NO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,76
285,TAM-15,NO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,26
286,TAM-15,NO,medium,12/6/2024,Poaceae,Festuca,Festuca_peruviana,16
