Evaluation_unit,Cover,Date,Eval_quadrant,Utilization_degree
TAM-18,medium,11/6/2024,79,50
TAM-18,medium,11/6/2024,80,50
TAM-18,medium,11/6/2024,81,50
TAM-18,medium,11/6/2024,82,30
TAM-18,medium,11/6/2024,83,10
TAM-18,medium,11/6/2024,84,10
TAM-18,medium,11/6/2024,85,50
TAM-18,medium,11/6/2024,86,30
TAM-18,medium,11/6/2024,87,30
TAM-18,medium,11/6/2024,88,50
TAM-18,medium,11/6/2024,89,50
TAM-18,medium,11/6/2024,90,50
TAM-18,medium,11/6/2024,91,30
TAM-18,medium,11/6/2024,92,30
TAM-18,medium,11/6/2024,93,10
TAM-18,medium,11/6/2024,94,10
TAM-18,medium,11/6/2024,95,10
TAM-18,medium,11/6/2024,96,30
TAM-18,medium,11/6/2024,97,10
TAM-18,medium,11/6/2024,98,10
TAM-18,medium,11/6/2024,99,10
TAM-18,medium,11/6/2024,100,30
CHAL-01,low,13/6/2024,1,90
CHAL-01,low,13/6/2024,2,90
CHAL-01,low,13/6/2024,3,70
CHAL-01,low,13/6/2024,4,90
CHAL-01,low,13/6/2024,5,90
CHAL-01,low,13/6/2024,6,90
CHAL-01,low,13/6/2024,7,70
CHAL-01,low,13/6/2024,8,90
CHAL-01,low,13/6/2024,9,70
CHAL-01,low,13/6/2024,10,70
CHAL-01,low,13/6/2024,11,90
CHAL-01,low,13/6/2024,12,90
CHAL-01,low,13/6/2024,13,70
CHAL-01,low,13/6/2024,14,50
CHAL-01,low,13/6/2024,15,70
CHAL-01,low,13/6/2024,16,70
CHAL-01,low,13/6/2024,17,90
CHAL-01,low,13/6/2024,18,90
CHAL-01,low,13/6/2024,19,90
CHAL-01,low,13/6/2024,20,90
CHAL-01,low,13/6/2024,21,70
CHAL-01,low,13/6/2024,22,90
CHAL-01,low,13/6/2024,23,90
CHAL-01,low,13/6/2024,24,90
CHAL-01,low,13/6/2024,25,70
CHAL-01,low,13/6/2024,26,70
CHAL-01,low,13/6/2024,27,70
CHAL-01,low,13/6/2024,28,70
CHAL-01,low,13/6/2024,29,70
CHAL-01,low,13/6/2024,30,90
CHAL-01,low,13/6/2024,31,70
CHAL-01,low,13/6/2024,32,90
CHAL-01,low,13/6/2024,33,70
CHAL-01,low,13/6/2024,34,50
CHAL-01,low,13/6/2024,35,70
CHAL-01,low,13/6/2024,36,70
CHAL-01,low,13/6/2024,37,70
CHAL-01,low,13/6/2024,38,70
CHAL-01,low,13/6/2024,39,70
CHAL-01,low,13/6/2024,40,70
CHAL-01,low,13/6/2024,41,70
CHAL-01,low,13/6/2024,42,70
CHAL-01,low,13/6/2024,43,70
CHAL-01,low,13/6/2024,44,50
CHAL-01,low,13/6/2024,45,50
CHAL-01,low,13/6/2024,46,70
CHAL-01,low,13/6/2024,47,90
CHAL-01,low,13/6/2024,48,90
CHAL-01,low,13/6/2024,49,50
CHAL-01,low,13/6/2024,50,70
CHAL-01,low,13/6/2024,51,90
CHAL-01,low,13/6/2024,52,90
CHAL-01,low,13/6/2024,53,70
CHAL-01,low,13/6/2024,54,70
CHAL-01,low,13/6/2024,55,30
CHAL-01,low,13/6/2024,56,50
CHAL-01,low,13/6/2024,57,70
CHAL-01,low,13/6/2024,58,70
CHAL-01,low,13/6/2024,59,50
CHAL-01,low,13/6/2024,60,70
CHAL-01,low,13/6/2024,61,70
CHAL-01,low,13/6/2024,62,50
CHAL-01,low,13/6/2024,63,50
CHAL-01,low,13/6/2024,64,50
CHAL-01,low,13/6/2024,65,70
CHAL-01,low,13/6/2024,66,70
CHAL-01,low,13/6/2024,67,70
CHAL-01,low,13/6/2024,68,70
CHAL-01,low,13/6/2024,69,70
CHAL-01,low,13/6/2024,70,70
CHAL-01,low,13/6/2024,71,50
CHAL-01,low,13/6/2024,72,50
CHAL-01,low,13/6/2024,73,70
CHAL-01,low,13/6/2024,74,50
CHAL-01,low,13/6/2024,75,70
CHAL-01,low,13/6/2024,76,90
CHAL-01,low,13/6/2024,77,70
CHAL-01,low,13/6/2024,78,90
CHAL-01,low,13/6/2024,79,70
CHAL-01,low,13/6/2024,80,50
CHAL-01,low,13/6/2024,81,70
CHAL-01,low,13/6/2024,82,50
CHAL-01,low,13/6/2024,83,30
CHAL-01,low,13/6/2024,84,50
CHAL-01,low,13/6/2024,85,50
CHAL-01,low,13/6/2024,86,70
CHAL-01,low,13/6/2024,87,30
CHAL-01,low,13/6/2024,88,70
CHAL-01,low,13/6/2024,89,70
CHAL-01,low,13/6/2024,90,70
CHAL-01,low,13/6/2024,91,70
CHAL-01,low,13/6/2024,92,50
CHAL-01,low,13/6/2024,93,70
CHAL-01,low,13/6/2024,94,50
CHAL-01,low,13/6/2024,95,50
CHAL-01,low,13/6/2024,96,50
CHAL-01,low,13/6/2024,97,50
CHAL-01,low,13/6/2024,98,70
CHAL-01,low,13/6/2024,99,50
CHAL-01,low,13/6/2024,100,70
CHAL-03,low,16/6/2024,1,50
CHAL-03,low,16/6/2024,2,90
CHAL-03,low,16/6/2024,3,70
CHAL-03,low,16/6/2024,4,90
CHAL-03,low,16/6/2024,5,70
CHAL-03,low,16/6/2024,6,70
CHAL-03,low,16/6/2024,7,70
CHAL-03,low,16/6/2024,8,70
CHAL-03,low,16/6/2024,9,50
CHAL-03,low,16/6/2024,10,50
CHAL-03,low,16/6/2024,11,50
CHAL-03,low,16/6/2024,12,70
CHAL-03,low,16/6/2024,13,90
CHAL-03,low,16/6/2024,14,70
CHAL-03,low,16/6/2024,15,70
CHAL-03,low,16/6/2024,16,50
CHAL-03,low,16/6/2024,17,30
CHAL-03,low,16/6/2024,18,90
CHAL-03,low,16/6/2024,19,50
CHAL-03,low,16/6/2024,20,50
CHAL-03,low,16/6/2024,21,50
CHAL-03,low,16/6/2024,22,50
CHAL-03,low,16/6/2024,23,70
CHAL-03,low,16/6/2024,24,90
CHAL-03,low,16/6/2024,25,70
CHAL-03,low,16/6/2024,26,90
CHAL-03,low,16/6/2024,27,50
CHAL-03,low,16/6/2024,28,70
CHAL-03,low,16/6/2024,29,50
CHAL-03,low,16/6/2024,30,50
CHAL-03,low,16/6/2024,31,70
CHAL-03,low,16/6/2024,32,90
CHAL-03,low,16/6/2024,33,90
CHAL-03,low,16/6/2024,34,50
CHAL-03,low,16/6/2024,35,30
CHAL-03,low,16/6/2024,36,50
CHAL-03,low,16/6/2024,37,50
CHAL-03,low,16/6/2024,38,30
CHAL-03,low,16/6/2024,39,50
CHAL-03,low,16/6/2024,40,70
CHAL-03,low,16/6/2024,41,70
CHAL-03,low,16/6/2024,42,70
CHAL-03,low,16/6/2024,43,50
CHAL-03,low,16/6/2024,44,70
CHAL-03,low,16/6/2024,45,90
CHAL-03,low,16/6/2024,46,50
CHAL-03,low,16/6/2024,47,30
CHAL-03,low,16/6/2024,48,50
CHAL-03,low,16/6/2024,49,70
CHAL-03,low,16/6/2024,50,30
CHAL-03,low,16/6/2024,51,30
CHAL-03,low,16/6/2024,52,50
CHAL-03,low,16/6/2024,53,70
CHAL-03,low,16/6/2024,54,70
CHAL-03,low,16/6/2024,55,70
CHAL-03,low,16/6/2024,56,70
CHAL-03,low,16/6/2024,57,90
CHAL-03,low,16/6/2024,58,50
CHAL-03,low,16/6/2024,59,30
CHAL-03,low,16/6/2024,60,30
CHAL-03,low,16/6/2024,61,50
CHAL-03,low,16/6/2024,62,70
CHAL-03,low,16/6/2024,63,50
CHAL-03,low,16/6/2024,64,50
CHAL-03,low,16/6/2024,65,30
CHAL-03,low,16/6/2024,66,30
CHAL-03,low,16/6/2024,67,90
CHAL-03,low,16/6/2024,68,70
CHAL-03,low,16/6/2024,69,90
CHAL-03,low,16/6/2024,70,70
CHAL-03,low,16/6/2024,71,70
CHAL-03,low,16/6/2024,72,50
CHAL-03,low,16/6/2024,73,70
CHAL-03,low,16/6/2024,74,70
CHAL-03,low,16/6/2024,75,70
CHAL-03,low,16/6/2024,76,50
CHAL-03,low,16/6/2024,77,30
CHAL-03,low,16/6/2024,78,70
CHAL-03,low,16/6/2024,79,70
CHAL-03,low,16/6/2024,80,70
CHAL-03,low,16/6/2024,81,50
CHAL-03,low,16/6/2024,82,50
CHAL-03,low,16/6/2024,83,50
CHAL-03,low,16/6/2024,84,70
CHAL-03,low,16/6/2024,85,70
CHAL-03,low,16/6/2024,86,70
CHAL-03,low,16/6/2024,87,50
CHAL-03,low,16/6/2024,88,70
CHAL-03,low,16/6/2024,89,70
CHAL-03,low,16/6/2024,90,50
CHAL-03,low,16/6/2024,91,50
CHAL-03,low,16/6/2024,92,50
CHAL-03,low,16/6/2024,93,50
CHAL-03,low,16/6/2024,94,70
CHAL-03,low,16/6/2024,95,50
CHAL-03,low,16/6/2024,96,70
CHAL-03,low,16/6/2024,97,50
CHAL-03,low,16/6/2024,98,50
CHAL-03,low,16/6/2024,99,30
CHAL-03,low,16/6/2024,100,70
CHAL-04,medium,17/6/2024,1,30
CHAL-04,medium,17/6/2024,2,30
CHAL-04,medium,17/6/2024,3,30
CHAL-04,medium,17/6/2024,4,30
CHAL-04,medium,17/6/2024,5,50
CHAL-04,medium,17/6/2024,6,50
CHAL-04,medium,17/6/2024,7,30
CHAL-04,medium,17/6/2024,8,50
CHAL-04,medium,17/6/2024,9,50
CHAL-04,medium,17/6/2024,10,50
CHAL-04,medium,17/6/2024,11,30
CHAL-04,medium,17/6/2024,12,70
CHAL-04,medium,17/6/2024,13,10
CHAL-04,medium,17/6/2024,14,30
CHAL-04,medium,17/6/2024,15,30
CHAL-04,medium,17/6/2024,16,70
CHAL-04,medium,17/6/2024,17,70
CHAL-04,medium,17/6/2024,18,50
CHAL-04,medium,17/6/2024,19,30
CHAL-04,medium,17/6/2024,20,30
CHAL-04,medium,17/6/2024,21,30
CHAL-04,medium,17/6/2024,22,30
CHAL-04,medium,17/6/2024,23,30
CHAL-04,medium,17/6/2024,24,30
CHAL-04,medium,17/6/2024,25,50
CHAL-04,medium,17/6/2024,26,50
CHAL-04,medium,17/6/2024,27,50
CHAL-04,medium,17/6/2024,28,30
CHAL-04,medium,17/6/2024,29,30
CHAL-04,medium,17/6/2024,30,50
CHAL-04,medium,17/6/2024,31,70
CHAL-04,medium,17/6/2024,32,70
CHAL-04,medium,17/6/2024,33,70
CHAL-04,medium,17/6/2024,34,70
CHAL-04,medium,17/6/2024,35,70
CHAL-04,medium,17/6/2024,36,90
CHAL-04,medium,17/6/2024,37,10
CHAL-04,medium,17/6/2024,38,70
CHAL-04,medium,17/6/2024,39,70
CHAL-04,medium,17/6/2024,40,70
CHAL-04,medium,17/6/2024,41,70
CHAL-04,medium,17/6/2024,42,70
CHAL-04,medium,17/6/2024,43,50
CHAL-04,medium,17/6/2024,44,50
CHAL-04,medium,17/6/2024,45,30
CHAL-04,medium,17/6/2024,46,30
CHAL-04,medium,17/6/2024,47,50
CHAL-04,medium,17/6/2024,48,50
CHAL-04,medium,17/6/2024,49,50
CHAL-04,medium,17/6/2024,50,50
CHAL-04,medium,17/6/2024,51,50
CHAL-04,medium,17/6/2024,52,50
CHAL-04,medium,17/6/2024,53,70
CHAL-04,medium,17/6/2024,54,50
CHAL-04,medium,17/6/2024,55,50
CHAL-04,medium,17/6/2024,56,70
CHAL-04,medium,17/6/2024,57,70
CHAL-04,medium,17/6/2024,58,70
CHAL-04,medium,17/6/2024,59,70
CHAL-04,medium,17/6/2024,60,50
CHAL-04,medium,17/6/2024,61,70
CHAL-04,medium,17/6/2024,62,70
CHAL-04,medium,17/6/2024,63,50
CHAL-04,medium,17/6/2024,64,70
CHAL-04,medium,17/6/2024,65,70
CHAL-04,medium,17/6/2024,66,50
CHAL-04,medium,17/6/2024,67,70
CHAL-04,medium,17/6/2024,68,70
CHAL-04,medium,17/6/2024,69,70
CHAL-04,medium,17/6/2024,70,70
CHAL-04,medium,17/6/2024,71,70
CHAL-04,medium,17/6/2024,72,70
CHAL-04,medium,17/6/2024,73,70
CHAL-04,medium,17/6/2024,74,70
CHAL-04,medium,17/6/2024,75,50
CHAL-04,medium,17/6/2024,76,70
CHAL-04,medium,17/6/2024,77,70
CHAL-04,medium,17/6/2024,78,90
CHAL-04,medium,17/6/2024,79,70
CHAL-04,medium,17/6/2024,80,50
CHAL-04,medium,17/6/2024,81,50
CHAL-04,medium,17/6/2024,82,70
CHAL-04,medium,17/6/2024,83,70
CHAL-04,medium,17/6/2024,84,70
CHAL-04,medium,17/6/2024,85,70
CHAL-04,medium,17/6/2024,86,70
CHAL-04,medium,17/6/2024,87,90
CHAL-04,medium,17/6/2024,88,70
CHAL-04,medium,17/6/2024,89,70
CHAL-04,medium,17/6/2024,90,70
CHAL-04,medium,17/6/2024,91,70
CHAL-04,medium,17/6/2024,92,70
CHAL-04,medium,17/6/2024,93,70
CHAL-04,medium,17/6/2024,94,70
CHAL-04,medium,17/6/2024,95,70
CHAL-04,medium,17/6/2024,96,70
CHAL-04,medium,17/6/2024,97,70
CHAL-04,medium,17/6/2024,98,70
CHAL-04,medium,17/6/2024,99,70
CHAL-04,medium,17/6/2024,100,70
CHAL-08,low,19/6/2024,1,50
CHAL-08,low,19/6/2024,2,50
CHAL-08,low,19/6/2024,3,30
CHAL-08,low,19/6/2024,4,50
CHAL-08,low,19/6/2024,5,70
CHAL-08,low,19/6/2024,6,70
CHAL-08,low,19/6/2024,7,70
CHAL-08,low,19/6/2024,8,70
CHAL-08,low,19/6/2024,9,50
CHAL-08,low,19/6/2024,10,30
CHAL-08,low,19/6/2024,11,50
CHAL-08,low,19/6/2024,12,30
CHAL-08,low,19/6/2024,13,50
CHAL-08,low,19/6/2024,14,70
CHAL-08,low,19/6/2024,15,70
CHAL-08,low,19/6/2024,16,70
CHAL-08,low,19/6/2024,17,70
CHAL-08,low,19/6/2024,18,70
CHAL-08,low,19/6/2024,19,90
CHAL-08,low,19/6/2024,20,90
CHAL-08,low,19/6/2024,21,70
CHAL-08,low,19/6/2024,22,70
CHAL-08,low,19/6/2024,23,50
CHAL-08,low,19/6/2024,24,50
CHAL-08,low,19/6/2024,25,90
CHAL-08,low,19/6/2024,26,90
CHAL-08,low,19/6/2024,27,90
CHAL-08,low,19/6/2024,28,90
CHAL-08,low,19/6/2024,29,50
CHAL-08,low,19/6/2024,30,50
CHAL-08,low,19/6/2024,31,70
CHAL-08,low,19/6/2024,32,70
CHAL-08,low,19/6/2024,33,70
CHAL-08,low,19/6/2024,34,50
CHAL-08,low,19/6/2024,35,70
CHAL-08,low,19/6/2024,36,50
CHAL-08,low,19/6/2024,37,30
CHAL-08,low,19/6/2024,38,50
CHAL-08,low,19/6/2024,39,50
CHAL-08,low,19/6/2024,40,50
CHAL-08,low,19/6/2024,41,70
CHAL-08,low,19/6/2024,42,50
CHAL-08,low,19/6/2024,43,50
CHAL-08,low,19/6/2024,44,70
CHAL-08,low,19/6/2024,45,70
CHAL-08,low,19/6/2024,46,70
CHAL-08,low,19/6/2024,47,50
CHAL-08,low,19/6/2024,48,50
CHAL-08,low,19/6/2024,49,70
CHAL-08,low,19/6/2024,50,70
CHAL-08,low,19/6/2024,51,70
CHAL-08,low,19/6/2024,52,90
CHAL-08,low,19/6/2024,53,70
CHAL-08,low,19/6/2024,54,50
CHAL-08,low,19/6/2024,55,30
CHAL-08,low,19/6/2024,56,70
CHAL-08,low,19/6/2024,57,50
CHAL-08,low,19/6/2024,58,50
CHAL-08,low,19/6/2024,59,50
CHAL-08,low,19/6/2024,60,70
CHAL-08,low,19/6/2024,61,70
CHAL-08,low,19/6/2024,62,70
CHAL-08,low,19/6/2024,63,90
CHAL-08,low,19/6/2024,64,70
CHAL-08,low,19/6/2024,65,50
CHAL-08,low,19/6/2024,66,50
CHAL-08,low,19/6/2024,67,70
CHAL-08,low,19/6/2024,68,70
CHAL-08,low,19/6/2024,69,70
CHAL-08,low,19/6/2024,70,70
CHAL-08,low,19/6/2024,71,70
CHAL-08,low,19/6/2024,72,90
CHAL-08,low,19/6/2024,73,70
CHAL-08,low,19/6/2024,74,70
CHAL-08,low,19/6/2024,75,50
CHAL-08,low,19/6/2024,76,50
CHAL-08,low,19/6/2024,77,70
CHAL-08,low,19/6/2024,78,50
CHAL-08,low,19/6/2024,79,70
CHAL-08,low,19/6/2024,80,50
CHAL-08,low,19/6/2024,81,50
CHAL-08,low,19/6/2024,82,50
CHAL-08,low,19/6/2024,83,70
CHAL-08,low,19/6/2024,84,90
CHAL-08,low,19/6/2024,85,70
CHAL-08,low,19/6/2024,86,50
CHAL-08,low,19/6/2024,87,70
CHAL-08,low,19/6/2024,88,70
CHAL-08,low,19/6/2024,89,50
CHAL-08,low,19/6/2024,90,50
CHAL-08,low,19/6/2024,91,70
CHAL-08,low,19/6/2024,92,10
CHAL-08,low,19/6/2024,93,50
CHAL-08,low,19/6/2024,94,50
CHAL-08,low,19/6/2024,95,70
CHAL-08,low,19/6/2024,96,70
CHAL-08,low,19/6/2024,97,70
CHAL-08,low,19/6/2024,98,50
CHAL-08,low,19/6/2024,99,70
CHAL-08,low,19/6/2024,100,50
CHAL-10,medium,18/6/2024,1,70
CHAL-10,medium,18/6/2024,2,70
CHAL-10,medium,18/6/2024,3,30
CHAL-10,medium,18/6/2024,4,50
CHAL-10,medium,18/6/2024,5,50
CHAL-10,medium,18/6/2024,6,70
CHAL-10,medium,18/6/2024,7,70
CHAL-10,medium,18/6/2024,8,70
CHAL-10,medium,18/6/2024,9,70
CHAL-10,medium,18/6/2024,10,70
CHAL-10,medium,18/6/2024,11,50
CHAL-10,medium,18/6/2024,12,50
CHAL-10,medium,18/6/2024,13,70
CHAL-10,medium,18/6/2024,14,70
CHAL-10,medium,18/6/2024,15,50
CHAL-10,medium,18/6/2024,16,50
CHAL-10,medium,18/6/2024,17,70
CHAL-10,medium,18/6/2024,18,70
CHAL-10,medium,18/6/2024,19,90
CHAL-10,medium,18/6/2024,20,90
CHAL-10,medium,18/6/2024,21,50
CHAL-10,medium,18/6/2024,22,30
CHAL-10,medium,18/6/2024,23,50
CHAL-10,medium,18/6/2024,24,50
CHAL-10,medium,18/6/2024,25,50
CHAL-10,medium,18/6/2024,26,70
CHAL-10,medium,18/6/2024,27,30
CHAL-10,medium,18/6/2024,28,50
CHAL-10,medium,18/6/2024,29,90
CHAL-10,medium,18/6/2024,30,70
CHAL-10,medium,18/6/2024,31,70
CHAL-10,medium,18/6/2024,32,50
CHAL-10,medium,18/6/2024,33,70
CHAL-10,medium,18/6/2024,34,70
CHAL-10,medium,18/6/2024,35,70
CHAL-10,medium,18/6/2024,36,70
CHAL-10,medium,18/6/2024,37,70
CHAL-10,medium,18/6/2024,38,70
CHAL-10,medium,18/6/2024,39,70
CHAL-10,medium,18/6/2024,40,70
CHAL-10,medium,18/6/2024,41,70
CHAL-10,medium,18/6/2024,42,70
CHAL-10,medium,18/6/2024,43,70
CHAL-10,medium,18/6/2024,44,70
CHAL-10,medium,18/6/2024,45,50
CHAL-10,medium,18/6/2024,46,30
CHAL-10,medium,18/6/2024,47,30
CHAL-10,medium,18/6/2024,48,50
CHAL-10,medium,18/6/2024,49,70
CHAL-10,medium,18/6/2024,50,50
CHAL-10,medium,18/6/2024,51,30
CHAL-10,medium,18/6/2024,52,90
CHAL-10,medium,18/6/2024,53,70
CHAL-10,medium,18/6/2024,54,50
CHAL-10,medium,18/6/2024,55,70
CHAL-10,medium,18/6/2024,56,70
CHAL-10,medium,18/6/2024,57,70
CHAL-10,medium,18/6/2024,58,70
CHAL-10,medium,18/6/2024,59,70
CHAL-10,medium,18/6/2024,60,70
CHAL-10,medium,18/6/2024,61,90
CHAL-10,medium,18/6/2024,62,70
CHAL-10,medium,18/6/2024,63,70
CHAL-10,medium,18/6/2024,64,70
CHAL-10,medium,18/6/2024,65,70
CHAL-10,medium,18/6/2024,66,70
CHAL-10,medium,18/6/2024,67,70
CHAL-10,medium,18/6/2024,68,70
CHAL-10,medium,18/6/2024,69,90
CHAL-10,medium,18/6/2024,70,30
CHAL-10,medium,18/6/2024,71,30
CHAL-10,medium,18/6/2024,72,70
CHAL-10,medium,18/6/2024,73,70
CHAL-10,medium,18/6/2024,74,30
CHAL-10,medium,18/6/2024,75,30
CHAL-10,medium,18/6/2024,76,70
CHAL-10,medium,18/6/2024,77,70
CHAL-10,medium,18/6/2024,78,70
CHAL-10,medium,18/6/2024,79,70
CHAL-10,medium,18/6/2024,80,70
CHAL-10,medium,18/6/2024,81,50
CHAL-10,medium,18/6/2024,82,70
CHAL-10,medium,18/6/2024,83,70
CHAL-10,medium,18/6/2024,84,50
CHAL-10,medium,18/6/2024,85,70
CHAL-10,medium,18/6/2024,86,30
CHAL-10,medium,18/6/2024,87,70
CHAL-10,medium,18/6/2024,88,50
CHAL-10,medium,18/6/2024,89,70
CHAL-10,medium,18/6/2024,90,70
CHAL-10,medium,18/6/2024,91,50
CHAL-10,medium,18/6/2024,92,70
CHAL-10,medium,18/6/2024,93,50
CHAL-10,medium,18/6/2024,94,50
CHAL-10,medium,18/6/2024,95,50
CHAL-10,medium,18/6/2024,96,70
CHAL-10,medium,18/6/2024,97,70
CHAL-10,medium,18/6/2024,98,70
CHAL-10,medium,18/6/2024,99,50
CHAL-10,medium,18/6/2024,100,50
CHAL-07,medium,15/6/2024,1,70
CHAL-07,medium,15/6/2024,2,50
CHAL-07,medium,15/6/2024,3,70
CHAL-07,medium,15/6/2024,4,50
CHAL-07,medium,15/6/2024,5,30
CHAL-07,medium,15/6/2024,6,30
CHAL-07,medium,15/6/2024,7,70
CHAL-07,medium,15/6/2024,8,70
CHAL-07,medium,15/6/2024,9,70
CHAL-07,medium,15/6/2024,10,90
CHAL-07,medium,15/6/2024,11,90
CHAL-07,medium,15/6/2024,12,50
CHAL-07,medium,15/6/2024,13,70
CHAL-07,medium,15/6/2024,14,90
CHAL-07,medium,15/6/2024,15,70
CHAL-07,medium,15/6/2024,16,70
CHAL-07,medium,15/6/2024,17,50
CHAL-07,medium,15/6/2024,18,30
CHAL-07,medium,15/6/2024,19,50
CHAL-07,medium,15/6/2024,20,50
CHAL-07,medium,15/6/2024,21,70
CHAL-07,medium,15/6/2024,22,70
CHAL-07,medium,15/6/2024,23,50
CHAL-07,medium,15/6/2024,24,70
CHAL-07,medium,15/6/2024,25,50
CHAL-07,medium,15/6/2024,26,50
CHAL-07,medium,15/6/2024,27,70
CHAL-07,medium,15/6/2024,28,70
CHAL-07,medium,15/6/2024,29,70
CHAL-07,medium,15/6/2024,30,70
CHAL-07,medium,15/6/2024,31,50
CHAL-07,medium,15/6/2024,32,50
CHAL-07,medium,15/6/2024,33,70
CHAL-07,medium,15/6/2024,34,70
CHAL-07,medium,15/6/2024,35,70
CHAL-07,medium,15/6/2024,36,70
CHAL-07,medium,15/6/2024,37,70
CHAL-07,medium,15/6/2024,38,70
CHAL-07,medium,15/6/2024,39,90
CHAL-07,medium,15/6/2024,40,70
CHAL-07,medium,15/6/2024,41,70
CHAL-07,medium,15/6/2024,42,70
CHAL-07,medium,15/6/2024,43,50
CHAL-07,medium,15/6/2024,44,50
CHAL-07,medium,15/6/2024,45,50
CHAL-07,medium,15/6/2024,46,30
CHAL-07,medium,15/6/2024,47,30
CHAL-07,medium,15/6/2024,48,50
CHAL-07,medium,15/6/2024,49,50
CHAL-07,medium,15/6/2024,50,50
CHAL-07,medium,15/6/2024,51,50
CHAL-07,medium,15/6/2024,52,50
CHAL-07,medium,15/6/2024,53,30
CHAL-07,medium,15/6/2024,54,50
CHAL-07,medium,15/6/2024,55,70
CHAL-07,medium,15/6/2024,56,70
CHAL-07,medium,15/6/2024,57,90
CHAL-07,medium,15/6/2024,58,70
CHAL-07,medium,15/6/2024,59,70
CHAL-07,medium,15/6/2024,60,70
CHAL-07,medium,15/6/2024,61,90
CHAL-07,medium,15/6/2024,62,70
CHAL-07,medium,15/6/2024,63,30
CHAL-07,medium,15/6/2024,64,30
CHAL-07,medium,15/6/2024,65,30
CHAL-07,medium,15/6/2024,66,30
CHAL-07,medium,15/6/2024,67,50
CHAL-07,medium,15/6/2024,68,70
CHAL-07,medium,15/6/2024,69,90
CHAL-07,medium,15/6/2024,70,90
CHAL-07,medium,15/6/2024,71,90
CHAL-07,medium,15/6/2024,72,90
CHAL-07,medium,15/6/2024,73,50
CHAL-07,medium,15/6/2024,74,70
CHAL-07,medium,15/6/2024,75,30
CHAL-07,medium,15/6/2024,76,30
CHAL-07,medium,15/6/2024,77,70
CHAL-07,medium,15/6/2024,78,90
CHAL-07,medium,15/6/2024,79,70
CHAL-07,medium,15/6/2024,80,90
CHAL-07,medium,15/6/2024,81,90
CHAL-07,medium,15/6/2024,82,70
